USO,GLD,SPY,QQQ
116.4800033569336,122.41000366210938,240.28399658203125,159.49002075195312
116.08000183105469,122.54000091552734,240.9450225830078,160.83663940429688
114.31999969482422,123.58999633789062,240.45140075683594,160.78921508789062
109.44000244140625,123.20999908447266,239.8784942626953,160.95046997070312
108.08000183105469,123.19000244140625,237.11968994140625,160.23916625976562
110.63999938964844,123.37000274658203,240.28399658203125,161.38668823242188
108.4000015258789,123.0999984741211,238.81201171875,161.28233337402344
106.0,122.48999786376953,241.1565704345703,163.81439208984375
104.95999908447266,122.37000274658203,242.3024139404297,165.2937469482422
105.76000213623047,122.8499984741211,242.478759765625,165.805908203125
105.27999877929688,122.91999816894531,244.5059356689453,166.77317810058594
106.80000305175781,122.86000061035156,244.47959899902344,165.4170379638672
106.16000366210938,123.01000213623047,245.20233154296875,165.4265594482422
106.87999725341797,123.2300033569336,245.52842712402344,165.87220764160156
107.19999694824219,122.81999969482422,245.8457489013672,166.7447052001953
107.76000213623047,123.19000244140625,245.06124877929688,166.73519897460938
108.16000366210938,123.37999725341797,245.6781768798828,168.42324829101562
104.4000015258789,121.33999633789062,245.3649139404297,167.83529663085938
106.31999969482422,121.11000061035156,244.86021423339844,167.7383575439453
105.12000274658203,120.80000305175781,243.92166137695312,167.26315307617188
106.23999786376953,120.26000213623047,244.33779907226562,168.45108032226562
106.4800033569336,120.05000305175781,242.80609130859375,166.98751831054688
112.16000366210938,120.33999633789062,243.2488250732422,166.61697387695312
110.16000366210938,119.88999938964844,239.93748474121094,162.86300659179688
114.16000366210938,119.26000213623047,240.4687042236328,163.52828979492188
117.19999694824219,118.58000183105469,238.47659301757812,161.30445861816406
118.87999725341797,118.22000122070312,239.84010314941406,162.6919403076172
120.4800033569336,118.6500015258789,240.1853790283203,163.12908935546875
119.68000030517578,117.45999908447266,240.69888305664062,164.2220001220703
119.36000061035156,118.6500015258789,239.8489227294922,162.32127380371094
118.23999786376953,119.05000305175781,241.80560302734375,164.3360595703125
119.68000030517578,118.86000061035156,243.85084533691406,166.8925323486328
120.23999786376953,119.1500015258789,246.0465545654297,168.3940887451172
120.55999755859375,118.93000030517578,246.93191528320312,168.5176544189453
114.4800033569336,117.63999938964844,245.12582397460938,167.6622772216797
115.12000274658203,118.12999725341797,247.3480682373047,170.55140686035156
115.76000213623047,117.61000061035156,247.5428924560547,170.6939697265625
111.5199966430664,117.55000305175781,247.32154846191406,170.28526306152344
111.5999984741211,116.27999877929688,248.3220672607422,171.32119750976562
112.80000305175781,116.30999755859375,248.84439086914062,170.99806213378906
113.04000091552734,115.80999755859375,247.90582275390625,170.1427459716797
113.19999694824219,116.55999755859375,247.6225128173828,170.1047821044922
112.72000122070312,116.0,248.0829315185547,170.64642333984375
113.83999633789062,116.04000091552734,249.3313446044922,171.34974670410156
115.36000061035156,116.68000030517578,251.45628356933594,173.74464416503906
115.76000213623047,115.7699966430664,250.86297607421875,171.1121368408203
114.55999755859375,115.83000183105469,249.16311645507812,168.80274963378906
116.31999969482422,115.6500015258789,247.8616943359375,166.4173126220703
114.23999786376953,115.98999786376953,249.08346557617188,167.69082641601562
112.72000122070312,115.13999938964844,248.66725158691406,168.3275909423828
114.87999725341797,114.5199966430664,250.0218963623047,170.61790466308594
114.16000366210938,114.91999816894531,251.09320068359375,171.140625
114.4800033569336,114.33000183105469,252.01400756835938,172.14804077148438
114.87999725341797,114.58999633789062,252.84629821777344,172.7752227783203
111.19999694824219,114.91000366210938,252.74002075195312,172.98431396484375
111.04000091552734,114.73999786376953,252.3947296142578,172.87979125976562
112.63999938964844,114.69000244140625,250.70359802246094,171.55882263183594
112.08000183105469,112.95999908447266,249.76516723632812,171.36874389648438
111.91999816894531,113.06999969482422,251.35887145996094,172.44261169433594
108.08000183105469,111.19000244140625,249.48178100585938,170.3328094482422
109.04000091552734,111.0999984741211,251.50050354003906,170.89353942871094
109.5199966430664,112.12999725341797,252.38595581054688,170.9315643310547
110.08000183105469,112.69000244140625,252.92605590820312,170.77951049804688
110.63999938964844,113.0199966430664,253.51914978027344,171.40675354003906
114.16000366210938,113.2699966430664,253.36866760253906,172.07200622558594
114.16000366210938,112.19999694824219,253.0322723388672,171.82485961914062
115.44000244140625,114.16000366210938,254.55511474609375,173.4215087890625
